"participant","tto","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34"
41,1,2,4,2,2,2,4,3,3,3,3,3,4.3,NA,4.3,4.3,5,3,4,4,4,4,4,4,5,5,3,3,4,2,4,3,4,5,4
42,1,3,4,5,3,4,4,4,4,4,4,3,4.3,4.3,3.3,3.3,5,4,4,4,4,3,4,4,4,5,4,3,4,4,4,3,3,3,3
43,1,2,2,2,3,3,3,3,2,2,3,2,NA,3.3,3.3,4.3,3,3,4,5,4,4,3,3,4,4,3,3,3,4,4,4,3,4,5
44,1,4,5,4,4,3,4,3,4,3,5,3,3.3,4.3,4.3,4.3,3,5,3,5,4,4,3,3,3,4,4,5,5,5,5,2,4,4,5
45,1,3,3,3,4,3,3,3,2,3,3,2,2.3,3.3,4.3,3.3,2,3,2,3,3,4,3,2,3,3,5,3,3,3,4,3,5,3,4
46,1,4,5,4,5,3,5,4,4,5,4,5,3.3,4.3,3.3,4.3,3,4,3,3,4,3,5,3,3,3,3,4,4,3,3,3,3,4,4
47,1,4,4,4,4,5,4,5,3,4,3,4,4.3,3.3,3.3,4.3,4,4,4,3,4,5,4,4,3,4,3,3,2,4,3,3,3,4,4
48,1,3,4,4,4,2,4,3,2,3,4,4,3.3,2.3,3.3,2.3,4,3,3,3,4,3,2,2,2,3,2,2,3,2,3,2,3,3,3
49,1,5,5,4,5,4,5,3,5,4,4,4,4.3,4.3,4.3,4.3,4,3,4,3,3,4,3,3,3,4,1,3,2,3,2,3,1,1,3
50,1,5,4,4,4,4,4,5,4,2,4,4,3.3,3.3,3.3,4.3,4,3,4,4,4,4,4,5,4,4,3,4,4,3,4,4,3,4,5
51,1,2,3,4,3,2,3,3,3,2,3,4,NA,4.3,4.3,NA,5,4,4,4,4,5,5,4,4,4,3,3,3,3,3,2,2,2,3
52,1,4,3,3,3,4,4,3,4,3,4,3,2.3,3.3,2.3,2.3,3,2,2,3,2,3,3,2,3,3,1,2,1,1,1,2,2,2,2
53,1,4,3,3,3,3,2,4,3,3,3,3,3.3,3.3,4.3,4.3,3,4,3,5,4,2,3,4,4,4,4,3,3,3,3,3,4,2,4
54,1,4,4,4,4,5,3,4,4,3,4,5,4.3,3.3,NA,4.3,5,5,5,5,4,4,4,5,5,4,3,3,2,2,2,2,2,4,2
55,1,4,4,3,2,2,4,5,3,3,3,3,4.3,4.3,4.3,3.3,4,4,3,3,4,4,3,4,3,3,4,3,4,4,5,4,4,5,5
56,1,2,4,3,3,4,4,3,3,2,3,4,2.3,2.3,1.3,4.3,2,2,2,2,3,2,2,2,4,2,3,3,3,4,4,4,3,3,4
57,1,3,2,3,2,3,3,3,2,4,2,2,NA,3.3,4.3,3.3,3,4,3,3,4,3,4,3,4,3,4,3,4,4,4,3,4,4,3
58,1,3,4,3,2,2,1,3,3,2,2,3,NA,NA,4.3,4.3,4,5,5,4,5,4,5,4,5,5,5,3,5,5,5,5,5,4,4
59,1,3,3,3,3,3,3,4,4,4,3,3,3.3,3.3,3.3,4.3,2,2,3,4,3,3,4,4,2,3,3,2,3,3,3,2,2,3,3
60,1,3,2,3,3,2,2,3,2,4,3,2,3.3,4.3,NA,3.3,4,3,5,4,4,3,3,4,5,3,5,4,4,3,4,5,4,5,5
61,1,4,3,4,3,2,2,4,4,3,4,3,3.3,4.3,4.3,4.3,4,4,3,2,2,3,3,3,3,3,3,3,3,4,3,4,4,4,4
62,1,4,4,4,3,5,4,3,3,3,4,5,4.3,NA,NA,4.3,4,5,5,5,5,4,5,4,4,5,3,3,3,3,3,3,2,2,4
63,1,5,3,3,4,4,3,3,3,3,4,3,NA,4.3,NA,4.3,5,4,3,5,4,4,5,5,4,4,3,4,4,4,3,3,3,3,4
64,1,4,4,4,4,3,4,3,2,3,3,3,3.3,NA,4.3,3.3,4,4,4,3,4,4,4,5,4,4,3,3,4,2,3,4,4,3,3
65,1,2,2,2,3,1,1,2,2,3,2,3,4.3,4.3,4.3,4.3,4,3,4,4,4,4,5,4,4,4,2,3,4,3,3,4,3,3,3
66,1,4,2,3,4,4,3,4,3,2,2,3,3.3,4.3,4.3,4.3,3,3,4,4,4,5,3,3,3,4,2,3,2,3,3,3,3,3,3
67,1,2,2,3,3,2,3,2,2,2,3,2,NA,NA,NA,NA,5,5,4,5,5,5,5,5,4,5,4,3,4,4,4,4,3,4,3
68,1,4,5,5,4,5,5,5,4,3,5,4,4.3,4.3,4.3,NA,4,4,5,5,4,4,4,4,4,5,4,3,4,4,4,4,4,4,5
69,1,3,3,3,2,3,3,3,3,3,3,3,3.3,3.3,2.3,3.3,2,2,3,3,3,3,2,3,2,3,3,4,2,4,3,4,4,4,5
